date,usd_pkr,gbp_pkr,eur_pkr,sar_pkr,aed_pkr,source_updated_utc
2026-09-17,277.5103,372.5326,319.2357,74.0027,75.5644,"Thu, 17 Sep 2026 00:02:31 +0000"
2026-09-18,277.2812,370.5819,318.4856,73.9417,75.5020,"Fri, 18 Sep 2026 00:02:31 +0000"
2026-09-19,277.4215,370.8263,318.4133,73.9791,75.5402,"Sat, 19 Sep 2026 00:02:31 +0000"
2026-09-20,278.6313,372.5301,319.7913,74.3017,75.8696,"Sun, 20 Sep 2026 00:02:31 +0000"
2026-09-21,277.9262,371.8519,318.9806,74.1137,75.6777,"Mon, 21 Sep 2026 00:02:31 +0000"
2026-09-22,277.4259,371.0148,318.2366,73.9802,75.5414,"Tue, 22 Sep 2026 00:02:31 +0000"
2026-09-23,277.1291,369.8368,317.3693,73.9011,75.4606,"Wed, 23 Sep 2026 00:02:31 +0000"
