collected_utc,source,published,title,link,words,file
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 08:31:02 GMT",انڈیا میں ’السلام علیکم‘ اور ’انشا اللہ‘ کہنے پر خاتون افسر کے تبادلے کا الزام، معاملہ کیا ہے؟,https://www.bbc.com/urdu/articles/cm750elqlwe9o?at_medium=RSS&at_campaign=rss,1417,data/articles/2026-09-17/bbc-urdu-97b945ee.md
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 07:47:00 GMT",’میں انھیں ہاتھ بھی نہیں لگاتا‘: کیا خریداری کے بعد ملنے والی رسیدیں بچے پیدا کرنے کی صلاحیت متاثر کرتی ہیں؟,https://www.bbc.com/urdu/articles/c6x2zggeyj08o?at_medium=RSS&at_campaign=rss,1314,data/articles/2026-09-17/bbc-urdu-1c198b3c.md
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 04:09:55 GMT",کیا سعودی تیل کا بحران پاکستان سمیت دنیا بھر میں پیٹرول، گیس اور خوراک کو مزید مہنگا کر سکتا ہے؟,https://www.bbc.com/urdu/articles/cm62403v3xy5o?at_medium=RSS&at_campaign=rss,1530,data/articles/2026-09-17/bbc-urdu-a696d00e.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 19:15:00 +05:00","Govt moves to restrict children's social media use, considers age limit: sources",https://www.geo.tv/latest/682498-govt-moves-to-restrict-childrens-social-media-use-considers-age-limit-sources,340,data/articles/2026-09-17/geo-govt-moves-to-restrict-childrens-social-d9be4dbd.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 18:23:00 +05:00",Punjab schools to face smart lockdown?,https://www.geo.tv/latest/682487-punjab-schools-to-face-smart-lockdown,199,data/articles/2026-09-17/geo-punjab-schools-to-face-smart-lockdown-e6cc3b8b.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 16:59:00 +05:00","Pakistan Army, US drone maker Powerus sign MoU including initial order",https://www.geo.tv/latest/682471-pakistan-army-us-drone-maker-powerus-sign-mou-including-initial-order,436,data/articles/2026-09-17/geo-pakistan-army-us-drone-maker-powerus-86941203.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 16:04:00 +05:00",Pims administration initiates departmental action against six officers over deadly nursery fire,https://www.geo.tv/latest/682463-pims-administration-initiates-departmental-action-against-six-officers-over-deadly-nursery-fire,546,data/articles/2026-09-17/geo-pims-administration-initiates-departmental-action-against-0db0347d.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 14:43:00 +05:00",Surjani Town suspect tried to sexually assault woman before killings: DIG West,https://www.geo.tv/latest/682445-surjani-town-suspect-tried-to-sexually-assault-woman-before-killings-dig-west,489,data/articles/2026-09-17/geo-surjani-town-suspect-tried-to-sexually-7bb43321.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 14:30:00 +05:00","SC suspends Imaan Mazari, husband's sentences in controversial tweets case",https://www.geo.tv/latest/682453-sc-suspends-imaan-mazari-husbands-sentences-in-controversial-tweets-case,226,data/articles/2026-09-17/geo-sc-suspends-imaan-mazari-husbands-sentences-afc876fe.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 12:25:00 +05:00","PM Shehbaz to lead Pakistan's delegation to UNGA session next week, confirms FO",https://www.geo.tv/latest/682432-pm-shehbaz-to-lead-pakistans-delegation-to-unga-session-next-week-confirms-fo,778,data/articles/2026-09-17/geo-pm-shehbaz-to-lead-pakistans-delegation-0bad86e3.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 10:59:04 +05:00",Pakistan jumps five notches in global gender gap index,https://www.geo.tv/latest/682426-pakistan-improves-rating-by-five-places-in-gender-gaps-report,217,data/articles/2026-09-17/geo-pakistan-jumps-five-notches-in-global-dcb8224b.md
2026-09-17 15:19:06 UTC,Geo,"Thu, 17 Sep 2026 10:39:00 +05:00",Security forces kill three terrorists in Balochistan IBO: sources,https://www.geo.tv/latest/682423-security-forces-kill-three-terrorists-in-balochistan-ibo-sources,250,data/articles/2026-09-17/geo-security-forces-kill-three-terrorists-in-15ab3352.md
2026-09-17 15:19:06 UTC,Geo,"Wed, 16 Sep 2026 23:02:00 +05:00",Defence minister says time has come to implement Makkah pact amid Houthi attacks,https://www.geo.tv/latest/682383-defence-minister-says-time-has-come-to-implement-makkah-pact-amid-houthi-attacks,715,data/articles/2026-09-17/geo-defence-minister-says-time-has-come-9108b6da.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 10:30:15 +0500","Amid Houthi attacks, DG ISPR says Pakistan will 'go to any extent' to defend Saudi Arabia",https://www.dawn.com/news/2030830/amid-houthi-attacks-dg-ispr-says-pakistan-will-go-to-any-extent-to-defend-saudi-arabia,195,data/articles/2026-09-18/dawn-amid-houthi-attacks-dg-ispr-says-4e9e93e5.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 08:37:06 +0500",LNG shortages hit Pakistan badly,https://www.dawn.com/news/2030754/lng-shortages-hit-pakistan-badly,434,data/articles/2026-09-18/dawn-lng-shortages-hit-pakistan-badly-8835ce25.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 07:22:55 +0500","Govt lowers petrol price by Rs0.43 per litre, raises HSD by Rs3.47 per litre",https://www.dawn.com/news/2030655/govt-lowers-petrol-price-by-rs043-per-litre-raises-hsd-by-rs347-per-litre,489,data/articles/2026-09-18/dawn-govt-lowers-petrol-price-by-rs043-03990059.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 07:24:56 +0500","Imaan, Hadi sent on judicial remand in another case after SC suspends sentences",https://www.dawn.com/news/2030611/imaan-hadi-sent-on-judicial-remand-in-another-case-after-sc-suspends-sentences,1403,data/articles/2026-09-18/dawn-imaan-hadi-sent-on-judicial-remand-55ee1f70.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 07:10:02 +0500",10 terrorists killed in KP ops: ISPR,https://www.dawn.com/news/2030739/10-terrorists-killed-in-kp-ops-ispr,229,data/articles/2026-09-18/dawn-10-terrorists-killed-in-kp-ops-d83cf887.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 08:27:25 +0500",Mir Raza commission reprimands first investigator over ‘zero work’,https://www.dawn.com/news/2030771/mir-raza-commission-reprimands-first-investigator-over-zero-work,1280,data/articles/2026-09-18/dawn-mir-raza-commission-reprimands-first-investigator-d46bbac4.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 07:10:42 +0500",US approves sale of 48 F-35 jets to Saudi Arabia,https://www.dawn.com/news/2030730/us-approves-sale-of-48-f-35-jets-to-saudi-arabia,257,data/articles/2026-09-18/dawn-us-approves-sale-of-48-f-35-267d151b.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 08:14:58 +0500",Court orders NCCIA to probe Rs4.8m ‘unauthorised’ transactions from Gul Plaza victim’s account,https://www.dawn.com/news/2030765/court-orders-nccia-to-probe-rs48m-unauthorised-transactions-from-gul-plaza-victims-account,459,data/articles/2026-09-18/dawn-court-orders-nccia-to-probe-rs48m-9eed4ff2.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 07:32:02 +0500",Pakistan ‘prefers dialogue over coercion’ to address Houthi threat,https://www.dawn.com/news/2030797/pakistan-prefers-dialogue-over-coercion-to-address-houthi-threat,959,data/articles/2026-09-18/dawn-pakistan-prefers-dialogue-over-coercion-to-7a269b0a.md
2026-09-18 05:31:36 UTC,Dawn,"Fri, 18 Sep 2026 08:11:35 +0500",SBP rejects rumours about Rs10 banknote,https://www.dawn.com/news/2030752/sbp-rejects-rumours-about-rs10-banknote,220,data/articles/2026-09-18/dawn-sbp-rejects-rumours-about-rs10-banknote-7036bdf4.md
2026-09-18 05:31:36 UTC,BBC Urdu,,امریکہ کا ایرانی وفد کو نیویارک میں اقوامِ متحدہ کے اجلاسوں میں شرکت کے لیے ویزے جاری کرنے کا اعلان,https://www.bbc.co.uk/urdu/live/cmdx5ggde4nvt?at_medium=RSS&at_campaign=rss,2311,data/articles/2026-09-18/bbc-urdu-bc631451.md
2026-09-18 05:31:36 UTC,BBC Urdu,"Fri, 18 Sep 2026 04:05:05 GMT",اسامہ بن لادن کی تعریف پر علامہ طاہر اشرفی سے اعزاز واپس لے لیا گیا,https://www.bbc.com/urdu/articles/c5n4k883jnzdo?at_medium=RSS&at_campaign=rss,1035,data/articles/2026-09-18/bbc-urdu-164c9d88.md
2026-09-18 05:31:36 UTC,BBC Urdu,"Fri, 18 Sep 2026 05:03:01 GMT",حمل، زچگی اور جسمانی تبدیلیاں: ’کیا کترینہ بچے کی پیدائش کے اگلے ہی دن جم چلی جاتیں؟‘,https://www.bbc.com/urdu/articles/c6wyz8lrnyvxo?at_medium=RSS&at_campaign=rss,2779,data/articles/2026-09-18/bbc-urdu-f3f963ca.md
2026-09-18 05:31:36 UTC,BBC Urdu,"Fri, 18 Sep 2026 02:51:35 GMT",کراچی میں خاتون اور تین بچوں کے قتل کے الزام میں گرفتار ملزم ’فرار کی کوشش‘ کے دوران ہلاک,https://www.bbc.com/urdu/articles/c38xkyvwwn8lo?at_medium=RSS&at_campaign=rss,2088,data/articles/2026-09-18/bbc-urdu-055d34cb.md
2026-09-18 05:31:36 UTC,BBC Urdu,"Thu, 17 Sep 2026 15:49:14 GMT",سعودی ایف 15 لڑاکا طیارہ مار گرائے جانے کی ویڈیو جو حوثیوں کی فوجی صلاحیت ظاہر کرتی ہے,https://www.bbc.com/urdu/articles/cmj4jz27xyg5o?at_medium=RSS&at_campaign=rss,1098,data/articles/2026-09-18/bbc-urdu-15-8197d569.md
2026-09-18 05:31:36 UTC,Geo,"Fri, 18 Sep 2026 09:31:00 +05:00","Pakistan will go 'to any extent' to defend Saudi Arabia, vows ISPR DG",https://www.geo.tv/latest/682564-pakistan-will-go-to-any-extent-to-defend-saudi-arabia-vows-ispr-dg,347,data/articles/2026-09-18/geo-pakistan-will-go-to-any-extent-d2a67b98.md
2026-09-18 05:31:36 UTC,Geo,"Fri, 18 Sep 2026 03:01:37 +05:00",10 India-sponsored militants killed in KP operations: ISPR,https://www.geo.tv/latest/682555-ten-india-sponsored-militants-killed-in-kp-operations-says-ispr,389,data/articles/2026-09-18/geo-10-india-sponsored-militants-killed-in-kp-c0a26cef.md
2026-09-18 05:31:36 UTC,Geo,"Thu, 17 Sep 2026 23:18:00 +05:00",Pakistan abstains from UNSC vote on Iran sanctions panel,https://www.geo.tv/latest/682529-pakistan-abstains-from-unsc-vote-on-iran-sanctions-panel,631,data/articles/2026-09-18/geo-pakistan-abstains-from-unsc-vote-on-ee2b3831.md
2026-09-18 05:31:36 UTC,Geo,"Thu, 17 Sep 2026 22:13:00 +05:00",'Paid Rs27.5m myself': Maryam defends use of govt plane for London trip,https://www.geo.tv/latest/682522-paid-rs275m-myself-maryam-defends-use-of-govt-plane-for-london-trip,369,data/articles/2026-09-18/geo-paid-rs275m-myself-maryam-defends-use-c871e9ac.md
2026-09-18 12:02:17 UTC,Dawn,"Fri, 18 Sep 2026 16:01:13 +0500","5 cops among 16 martyred in blast at Kohat Police Lines, more than 50 injured",https://www.dawn.com/news/2030862/5-cops-among-16-martyred-in-blast-at-kohat-police-lines-more-than-50-injured,537,data/articles/2026-09-18/dawn-5-cops-among-16-martyred-in-ddaf1038.md
2026-09-18 12:02:17 UTC,Dawn,"Fri, 18 Sep 2026 16:03:40 +0500","PM Shehbaz directs to include 20-year-old bikes, rickshaws in fuel relief scheme",https://www.dawn.com/news/2030874/pm-shehbaz-directs-to-include-20-year-old-bikes-rickshaws-in-fuel-relief-scheme,374,data/articles/2026-09-18/dawn-pm-shehbaz-directs-to-include-20-year-old-caf55710.md
2026-09-18 12:02:17 UTC,Dawn,"Fri, 18 Sep 2026 15:32:29 +0500",LHC extends suspension of PMDC directive for Afghan medical students' return,https://www.dawn.com/news/2030864/lhc-extends-suspension-of-pmdc-directive-for-afghan-medical-students-return,685,data/articles/2026-09-18/dawn-lhc-extends-suspension-of-pmdc-directive-e2263bbc.md
